,AGE,SEX,EDUC,INCOME,KIDHOME,TEENHOME,GOURMAGS,WINEMAGS,STYLMAGS,HOUSMAGS,SPRTMAGS,TRAVMAGS,CULTMAGS,COMPMAGS,FIRSTPUR,LASTPUR,NPURCH,TBOTTLES,TOTCAT,TOTCREV,TOTCCOST,TOTCPROF,REV1STYR,REVLSTYR,COSTLAST,LTV,PROBSTAY,AVGPURCH,AVGDISC,AVGQUAL,PCTWEB,PERCDR,PERCSR,PERCDW,PERCSW,PERCDE,PERCEX,TOTLCOMP,TOTWCOMP,TOTPCOMM,FACEBOOK
TRAVMAGS,0.365940572,-0.002092466,0.28225379,0.426142065,-0.323108894,-0.208223399,0.421140969,0.281179347,0.224491892,0.173494028,0.106646827,,0.299814599,0.068013963,-0.011913821,-0.212595246,0.214773743,0.230131179,-0.012458209,0.219150801,0.218456686,0.186552945,0.217732179,0.24594971,0.247385266,0.193852796,0.141453389,0.341211119,-0.221362091,0.208929078,0.111222159,-0.017681885,0.053915656,0.053417247,-0.060366181,-0.009402575,0.053243485,0.094823438,0.103399701,0.025503961,-0.059104597
CULTMAGS,0.129953071,-0.001243096,0.477551338,0.150099714,-0.10891007,-0.070651012,0.207209997,0.361388077,0.074956264,0.053665509,0.039992003,0.299814599,,0.10628448,-0.005240807,-0.082811374,0.070330318,0.074491504,-0.005547182,0.069569769,0.068619563,0.062310788,0.074679767,0.080272094,0.081275602,0.060591185,0.056949028,0.118041619,-0.074168482,0.071302982,0.180728515,0.004726531,0.010138843,0.016745975,-0.021148699,-0.009287357,0.018764724,0.069532418,0.071957456,0.00787771,-0.023843078
COMPMAGS,-0.068861012,-0.000580284,0.212264959,0.043459489,0.039741486,0.011541316,0.045540899,0.08067493,0.005804726,0.006149015,0.003687285,0.068013963,0.10628448,,-0.013107239,-0.004166988,0.004981913,0.011402314,-0.013593433,0.013212852,0.008309544,0.031824445,0.010185659,0.016844266,0.01555656,0.018571839,-0.006905896,0.021840748,-0.010120066,0.014562441,0.349227571,0.006994678,0.002808438,0.000479301,-0.008602672,-0.006483305,0.003940526,0.007621169,0.025664523,-0.002782605,-0.005550047
FIRSTPUR,7.05E-05,0.004308326,-0.003044175,-0.007065159,-0.001321864,-0.010749642,-0.004568543,0.006244623,0.001815673,-0.002566693,0.002822495,-0.011913821,-0.005240807,-0.013107239,,0.236780143,0.434203539,0.348025018,0.998059675,0.307830938,0.329528042,0.166078445,0.100361278,0.211410992,0.229988246,0.139303347,0.611846084,-0.003822723,0.000247633,0.002498734,-0.008211545,0.005596828,-0.005491646,-0.001803753,0.000138723,-0.000390317,-0.009545345,0.133340676,0.124506408,0.12829127,6.91E-05
LASTPUR,-0.351984714,-0.004335338,-0.003063714,-0.400978023,0.321676676,0.196560021,-0.286062936,-0.216906953,-0.206568818,-0.165658926,-0.102999959,-0.212595246,-0.082811374,-0.004166988,0.236780143,,-0.372217973,-0.317128282,0.235278544,-0.289725952,-0.30057176,-0.19683962,-0.272825145,-0.33440974,-0.346616196,-0.218188008,-0.519659655,-0.39231108,0.254650864,-0.366951144,-0.02814236,0.068965936,-0.144756945,-0.061951208,0.093223634,0.012136464,-0.108296942,-0.115095863,-0.113651096,-0.087413684,0.088446143
NPURCH,0.348549236,0.007123378,-0.010026782,0.441250941,-0.288074235,-0.181086163,0.344353544,0.243096541,0.244657551,0.191550235,0.134514437,0.214773743,0.070330318,0.004981913,0.434203539,-0.372217973,,0.945846567,0.433519606,0.91439914,0.935747398,0.675766022,0.703136018,0.818836098,0.837305009,0.650114159,0.592154359,0.520898225,-0.24458763,0.370824731,0.019702795,-0.060591753,0.142827755,0.065021699,-0.105861089,-0.010732797,0.093928893,0.300709144,0.301359644,0.136514555,-0.107573176
TBOTTLES,0.35997414,0.008096949,-0.009164025,0.486178756,-0.281983875,-0.181977242,0.362071744,0.225947684,0.272602081,0.218194902,0.157050766,0.230131179,0.074491504,0.011402314,0.348025018,-0.317128282,0.945846567,,0.347315855,0.980959557,0.988646752,0.789356158,0.786766097,0.886729929,0.894628858,0.750577321,0.486208338,0.583176674,-0.245410701,0.335348337,0.030870338,-0.054107694,0.125304173,0.064900833,-0.096230308,-0.009552691,0.089969875,0.281208995,0.283592975,0.091582392,-0.10354385
TOTCAT,-0.000429713,0.003680439,-0.003763929,-0.00762174,-0.001148396,-0.010843126,-0.005487864,0.006687961,0.001817965,-0.002512777,0.003492558,-0.012458209,-0.005547182,-0.013593433,0.998059675,0.235278544,0.433519606,0.347315855,,0.307090339,0.328845182,0.165213545,0.099529328,0.210703261,0.229370152,0.13860149,0.61311914,-0.004119111,0.000121705,0.002823419,-0.008225184,0.00590845,-0.005341711,-0.001661119,-0.000658891,-0.000257905,-0.009431175,0.133451631,0.124484906,0.128705597,0.000957246
TOTCREV,0.338034818,0.004436089,-0.007900309,0.465026996,-0.26355148,-0.169169352,0.379410573,0.249142412,0.260894235,0.21982305,0.166382969,0.219150801,0.069569769,0.013212852,0.307830938,-0.289725952,0.91439914,0.980959557,0.307090339,,0.99305714,0.867233348,0.808106503,0.907744296,0.902398966,0.820991401,0.435811777,0.614891658,-0.266381511,0.367189507,0.03271949,-0.052828611,0.132386231,0.069740857,-0.107895793,-0.011227232,0.094377105,0.273271889,0.276326867,0.037854853,-0.113881311
TOTCCOST,0.341327931,0.005879203,-0.010923968,0.462820375,-0.26744438,-0.171305176,0.362223166,0.24325537,0.258618217,0.207803513,0.153249942,0.218456686,0.068619563,0.008309544,0.329528042,-0.30057176,0.935747398,0.988646752,0.328845182,0.99305714,,0.802642584,0.799280529,0.898954186,0.906337607,0.76347583,0.460320277,0.596958835,-0.236445864,0.367631151,0.023642483,-0.052580669,0.137488587,0.062144961,-0.10907373,-0.011708162,0.087839869,0.284464484,0.285776677,0.071057896,-0.107605867
